,journalName
974544,2015 10th ACM/IEEE International Conference on Human-Robot Interaction (HRI)
1673157,Multiscale Model. Simul.
34759,Proceedings of the 2013 ACM conference on Pervasive and ubiquitous computing adjunct publication
15171,Proceedings of the 11th International Conference on Mobile and Ubiquitous Multimedia
591817,SIGMOD Rec.
87839,ACM Trans. Database Syst.
559051,Proceedings of the 2012 ACM Conference on Ubiquitous Computing
526285,Proceedings of the Annual Meeting of the Australian Special Interest Group for Computer Human Interaction
2539423,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
821199,EAI Endorsed Trans. Security Safety
100304,IEEE Access
100306,NeuroImage
1083346,Proceedings of the 2017 ACM Conference Companion Publication on Designing Interactive Systems
957059,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1168075,Personal and Ubiquitous Computing
1203652,Proceedings of the 2014 conference on Designing interactive systems
2499404,Proceedings of the 2017 Conference on Designing Interactive Systems
2066391,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems
1136581,ACM Computing Surveys (CSUR)
2368935,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
1293633,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
1542105,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
985051,Proceedings of the 24th International Conference on World Wide Web
2162681,Bioinformatics
2287230,Communications of the ACM
561834,Proceedings of the 22nd International Conference on Intelligent User Interfaces
1574878,Personal and Ubiquitous Computing
1607648,2017 IEEE International Conference on Data Mining (ICDM)
1629342,2016 International Joint Conference on Neural Networks (IJCNN)
460768,Proceedings of the ACM on Human-Computer Interaction
1738720,Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers
1476580,CHI '11 Extended Abstracts on Human Factors in Computing Systems
755686,Frontiers in Genetics
1738727,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2164712,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems
1059030,2015 10th ACM/IEEE International Conference on Human-Robot Interaction (HRI)
172277,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
1090746,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
526313,2013 IEEE 10th International Symposium on Biomedical Imaging
2295786,Proceedings of the 2017 ACM SIGCHI Conference on Creativity and Cognition
1806430,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
1819158,Proceedings of the Annual Meeting of the Australian Special Interest Group for Computer Human Interaction
1038710,Proceedings of the Annual Meeting of the Australian Special Interest Group for Computer Human Interaction
1476586,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
377723,ACM Trans. Comput. Hum. Interact.
2304919,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
1812415,ACM Transactions on Computer-Human Interaction (TOCHI)
675444,"Proceedings of the Eleventh International Conference on Tangible, Embedded, and Embodied Interaction"
428019,Proceedings of the 28th ACM Conference on Hypertext and Social Media
282890,Proceedings of the 17th ACM conference on Computer supported cooperative work & social computing
2100878,Proceedings of the 7th International Conference on Communities and Technologies
1742649,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
854007,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems
1538635,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
241535,Proceedings of the ACM 2011 conference on Computer supported cooperative work
2505843,Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing Systems
2236519,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
1741338,Proceedings of the 29th Annual Symposium on User Interface Software and Technology
2230263,2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
974338,ArXiv
2614987,2015 24th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN)
493561,Proceedings of the 2017 Conference on Designing Interactive Systems
222288,Proceedings of the 2013 ACM international joint conference on Pervasive and ubiquitous computing
1181690,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
242011,CHI '14 Extended Abstracts on Human Factors in Computing Systems
1145814,Proceedings of the 27th annual ACM symposium on User interface software and technology
2584205,Proceedings of the 24th annual ACM symposium on User interface software and technology
740193,Proceedings of the 2nd ACM International Symposium on Pervasive Displays
697855,Proceedings of The International Symposium on Pervasive Displays
854011,2019 IEEE EMBS International Conference on Biomedical & Health Informatics (BHI)
690704,2016 38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)
1549407,2016 IEEE-EMBS International Conference on Biomedical and Health Informatics (BHI)
1312764,ArXiv
1529163,Games Econ. Behav.
2224457,Proceedings of the ninth ACM conference on Emerging networking experiments and technologies
1534359,2012 IEEE Symposium on Security and Privacy
2623490,Proceedings of the 2013 ACM conference on Pervasive and ubiquitous computing adjunct publication
2610762,Proceedings of the 2012 ACM Conference on Ubiquitous Computing
1181710,Social networks
2164755,Frontiers in Robotics and AI
1485344,IEEE Transactions on Biomedical Engineering
1758190,2017 International Conference on Rehabilitation Robotics (ICORR)
2361364,Proceedings of the 9th Nordic Conference on Human-Computer Interaction
499955,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct
2328596,2018 International Conference on Sensor Networks and Signal Processing (SNSP)
1673243,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
905636,Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work
1567716,ArXiv
2525213,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems
962340,Future Gener. Comput. Syst.
859552,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
647215,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
2516463,Proceedings of the 17th ACM conference on Computer supported cooperative work & social computing
2037308,Proceedings of the 19th ACM Conference on Computer-Supported Cooperative Work & Social Computing
2135236,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2557982,Companion of the 2018 ACM/IEEE International Conference on Human-Robot Interaction
2492449,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems
553379,"Proceedings of the Eleventh International Conference on Tangible, Embedded, and Embodied Interaction"
2101563,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
316508,Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing
1303253,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
767580,Proceedings of the ACM on Human-Computer Interaction
1018488,Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing
1701091,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
1480639,Interactions
569271,Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing
829509,Companion of the 2018 ACM Conference on Computer Supported Cooperative Work and Social Computing
919587,IEEE transactions on bio-medical engineering
743479,Physics in medicine and biology
831608,Medical image analysis
919588,Entertain. Comput.
1214500,Proceedings of the 2017 ACM International Symposium on Wearable Computers
348778,Proceedings of the 7th Augmented Human International Conference 2016
2527927,Proceedings of the 5th Augmented Human International Conference
1393629,IEEE Consumer Electronics Magazine
45838,Proceedings of the 15th International Conference on Mobile and Ubiquitous Multimedia
690214,Comput. Speech Lang.
479245,ArXiv
1161531,Science Robotics
1682638,Found. Trends Robotics
952359,AI Mag.
919590,IEEE Pervasive Comput.
358741,ArXiv
2099242,2015 International Conference on Affective Computing and Intelligent Interaction (ACII)
398433,Commun. ACM
1774913,2013 10th IEEE International Conference and Workshops on Automatic Face and Gesture Recognition (FG)
2557996,Design Studies
1869871,IEICE Trans. Inf. Syst.
460850,Proceedings of the 2018 Annual Symposium on Computer-Human Interaction in Play Companion Extended Abstracts
444895,Proceedings of the Annual Symposium on Computer-Human Interaction in Play
247702,Proceedings of the 2018 International Conference on Advanced Visual Interfaces
2253697,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
224978,Proceedings of the first ACM SIGCHI annual symposium on Computer-human interaction in play
2525235,Commun. ACM
198707,Proceedings of the Wireless Health 2014 on National Institutes of Health
2623546,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention
1476672,IGARSS 2018 - 2018 IEEE International Geoscience and Remote Sensing Symposium
2132036,2019 IEEE/WIC/ACM International Conference on Web Intelligence (WI)
1017925,Computer
2117,Proceedings of the 2014 conference on Designing interactive systems
1902662,Int. J. Appl. Earth Obs. Geoinformation
2361416,Comput. Environ. Urban Syst.
2597608,Comput. Environ. Urban Syst.
2124,Current Opinion in Environmental Sustainability
2230765,Ecology and Society
854096,Proceedings of the 2013 ACM conference on Pervasive and ubiquitous computing adjunct publication
1068011,IEEE computer graphics and applications
827863,Proceedings of the 11th International Conference on Mobile and Ubiquitous Multimedia
1640529,2018 IEEE International Symposium on Mixed and Augmented Reality Adjunct (ISMAR-Adjunct)
2361428,CHI '14 Extended Abstracts on Human Factors in Computing Systems
1556664,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2280405,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2050249,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
493656,J. Semant.
2074463,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing
2069049,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1850994,Proceedings of the 19th ACM Conference on Computer Supported Cooperative Work and Social Computing Companion
2295901,2015 IEEE International Conference on Big Data (Big Data)
1771613,Proceedings of the 17th International Conference on Human-Computer Interaction with Mobile Devices and Services
610776,Personal and Ubiquitous Computing
408812,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1476703,Proceedings of the 2013 conference on Computer supported cooperative work
428128,CHI '13 Extended Abstracts on Human Factors in Computing Systems
2263138,Knowl. Based Syst.
101962,IEEE Access
697503,Proceedings of the 2018 World Wide Web Conference
1882608,Inf. Sci.
264293,Intelligent Service Robotics
2611239,The 23rd IEEE International Symposium on Robot and Human Interactive Communication
1724733,Topics in cognitive science
1305493,2013 8th ACM/IEEE International Conference on Human-Robot Interaction (HRI)
2132079,2015 IEEE International Conference on Digital Signal Processing (DSP)
1539104,"2014 5th International Conference on Intelligent Systems, Modelling and Simulation"
1982749,2014 International Joint Conference on Neural Networks (IJCNN)
2160,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
855089,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1247354,2020 IEEE/ACM 42nd International Conference on Software Engineering (ICSE)
766838,2018 IEEE/ACM 40th International Conference on Software Engineering (ICSE)
273321,"2019 12th IEEE Conference on Software Testing, Validation and Verification (ICST)"
778686,Empirical Software Engineering
428154,Behaviour & Information Technology
2590844,CHI '13 Extended Abstracts on Human Factors in Computing Systems
2274424,Proceedings of the ACM 2011 conference on Computer supported cooperative work
1843267,Int. J. Hum. Comput. Stud.
280567,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
909285,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1399100,Proceedings of the ACM 2011 conference on Computer supported cooperative work
561080,Proceedings of the 2013 ACM international joint conference on Pervasive and ubiquitous computing
1247360,Electron. Commun. Eur. Assoc. Softw. Sci. Technol.
788608,Scientific Reports
1640579,Proceedings of the 18th ACM International Conference on Multimodal Interaction
1717560,Proceedings of the 2015 ACM on International Conference on Multimodal Interaction
428165,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2485121,Computer
1902726,Social Network Analysis and Mining
2567444,2018 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)
67720,bioRxiv
518555,Proceedings of the 2013 conference on Computer supported cooperative work
124903,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2369466,Proceedings of the 2013 conference on Computer supported cooperative work
985227,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1640588,ACM Trans. Inf. Syst.
1328943,2013 IEEE 29th International Conference on Data Engineering (ICDE)
1207937,Proc. VLDB Endow.
348975,Proceedings of the 19th ACM SIGKDD international conference on Knowledge discovery and data mining
1607821,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing
1693708,J. Assoc. Inf. Sci. Technol.
1709324,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1974063,ArXiv
513390,Journal of Management Information Systems
2190,"2012 International Conference on Privacy, Security, Risk and Trust and 2012 International Confernece on Social Computing"
1650118,Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work
2511257,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
854161,2014 IEEE 11th International Symposium on Biomedical Imaging (ISBI)
663222,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
1312921,Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct Publication
316312,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2159817,Proceedings of the 2013 ACM international joint conference on Pervasive and ubiquitous computing
1771675,Extended Abstracts Publication of the Annual Symposium on Computer-Human Interaction in Play
2496558,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
318853,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
269601,Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems
1382098,CHI '14 Extended Abstracts on Human Factors in Computing Systems
2066589,"2011 IEEE International Conference on Systems, Man, and Cybernetics"
1378461,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing
755875,Proceedings of the 22nd ACM international conference on Information & Knowledge Management
2590886,Proceedings of the 10th International Conference on Automotive User Interfaces and Interactive Vehicular Applications
421068,2016 25th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN)
886951,Proceedings of the 32nd Annual ACM Symposium on User Interface Software and Technology
57122,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
274105,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
592041,Scientific Data
1493661,Scientific Data
1738923,Multimodal Technologies and Interaction
1793023,Adjunct Proceedings of the 10th International Conference on Automotive User Interfaces and Interactive Vehicular Applications
1323931,Communications of the ACM
1095171,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct
1149102,"Sensors (Basel, Switzerland)"
582700,Robotics Auton. Syst.
2427055,PLoS Computational Biology
460974,Medical image analysis
428209,BMC Bioinformatics
355320,IEEE/ACM Transactions on Computational Biology and Bioinformatics
1444022,Int. J. Mob. Hum. Comput. Interact.
2164923,2015 IEEE 31st International Conference on Data Engineering
2455090,Computer Graphics Forum
821440,J. Comput. Sci.
2241,Medical image analysis
1312966,Proceedings of the 2013 conference on Computer supported cooperative work
130643,International Journal of Computer-Supported Collaborative Learning
2385668,Proceedings of the 2013 conference on Computer supported cooperative work
460999,2016 IEEE Intelligent Vehicles Symposium (IV)
1738956,CHI '11 Extended Abstracts on Human Factors in Computing Systems
2197710,Computational Intelligence and Neuroscience
1280209,International Journal of Artificial Intelligence in Education
598095,International Journal of Artificial Intelligence in Education
2516925,International Journal of Computer-Supported Collaborative Learning
2099409,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems
1807249,Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems
844408,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
312211,Communications of the ACM
2147005,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
15259,Proceedings of the 18th International Conference on Mobile and Ubiquitous Multimedia
838223,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
502997,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing
1131360,Proceedings of the 19th ACM Conference on Computer-Supported Cooperative Work & Social Computing
952529,"2015 IEEE International Symposium on Safety, Security, and Rescue Robotics (SSRR)"
1050912,2014 IEEE/RSJ International Conference on Intelligent Robots and Systems
701356,2014 IEEE/RSJ International Conference on Intelligent Robots and Systems
690550,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
527297,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
2448093,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems
2627021,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems
480680,Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems
2225338,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems
824452,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems
643751,Proceedings of the 1st International Conference on Conversational User Interfaces
35034,IEEE Communications Surveys & Tutorials
1749569,2013 IEEE International Conference on Pervasive Computing and Communications Workshops (PERCOM Workshops)
1050842,Proceedings of the 7th Augmented Human International Conference 2016
1444067,2018 13th ACM/IEEE International Conference on Human-Robot Interaction (HRI)
329971,Behaviormetrika
1804535,"2015 Design, Automation & Test in Europe Conference & Exhibition (DATE)"
2399728,2014 IEEE Biomedical Circuits and Systems Conference (BioCAS) Proceedings
1345784,Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing
1640697,Proceedings of the 2015 Annual Symposium on Computer-Human Interaction in Play
1320685,2014 IEEE Symposium on 3D User Interfaces (3DUI)
1852956,Proceedings of the 2013 ACM international conference on Interactive tabletops and surfaces
2656506,Proceedings of the 8th International Conference on Pervasive Computing Technologies for Healthcare
596082,CHI '12 Extended Abstracts on Human Factors in Computing Systems
2066696,ACM Transactions on Computer-Human Interaction (TOCHI)
61524,Proceedings of the 14th international conference on Human-computer interaction with mobile devices and services
2328845,Proceedings of the 2016 ACM Conference on Designing Interactive Systems
670659,Proceedings of the 2014 conference on Designing interactive systems
1995770,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
627677,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2066702,ArXiv
1476880,European Journal of Information Systems
1214737,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
1575186,Displays
605380,CHI '11 Extended Abstracts on Human Factors in Computing Systems
128785,Proceedings of the 15th International ACM SIGACCESS Conference on Computers and Accessibility
526611,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
62798,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
1109271,Proceedings of the 2012 ACM Conference on Ubiquitous Computing
1033711,Proceedings of the First African Conference on Human Computer Interaction
1523845,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
2255256,Personal and Ubiquitous Computing
2520011,Computer Supported Cooperative Work (CSCW)
2133690,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
469770,ACM Transactions on Computer-Human Interaction (TOCHI)
1804568,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems
670838,Proceedings of the 2019 on Designing Interactive Systems Conference
167003,Interactions
1878296,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
2017429,"Proceedings of the TEI '16: Tenth International Conference on Tangible, Embedded, and Embodied Interaction"
2586935,Proceedings of the 2014 conference on Designing interactive systems
999298,ACM Transactions on Computer-Human Interaction (TOCHI)
1564712,Companion Publication of the 2019 on Designing Interactive Systems Conference 2019 Companion
467431,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
1027787,Proceedings of the ACM on Human-Computer Interaction
1438138,ACM Transactions on Computer-Human Interaction (TOCHI)
642068,Proceedings of the Halfway to the Future Symposium 2019
98055,Human–Computer Interaction
750014,Proceedings of the 2016 ACM Conference on Designing Interactive Systems
395545,Proceedings of the 11th International Conference on Automotive User Interfaces and Interactive Vehicular Applications: Adjunct Proceedings
1145642,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
731440,Adjunct Proceedings of the 10th International Conference on Automotive User Interfaces and Interactive Vehicular Applications
2033945,Proceedings of the 4th International Symposium on Pervasive Displays
2646135,Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing
2121416,Proceedings of the 2013 ACM international joint conference on Pervasive and ubiquitous computing
1280287,International Journal of Social Robotics
1083679,J. Econ. Theory
1630706,J. Econ. Theory
235341,Proceedings of the 28th Annual ACM Symposium on User Interface Software & Technology
2094893,Proceedings of the 28th Annual ACM Symposium on User Interface Software & Technology
428325,Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems
413417,Proceedings of the 2014 conference on Designing interactive systems
2067314,"Proceedings of the 8th Nordic Conference on Human-Computer Interaction: Fun, Fast, Foundational"
1788465,Proceedings of the 2015 International Conference on Interactive Tabletops & Surfaces
1640743,Proceedings of the ACM on Human-Computer Interaction
1673518,The Handbook on Socially Interactive Agents
899577,IEEE/ASME Transactions on Mechatronics
2560724,2011 6th ACM/IEEE International Conference on Human-Robot Interaction (HRI)
678369,Comput. Hum. Behav.
297268,Proceedings of the 21st ACM Conference on Economics and Computation
138800,"Proceedings of the Conference on Fairness, Accountability, and Transparency"
2623799,Proceedings of the 22nd international conference on World Wide Web
2221945,CHI '11 Extended Abstracts on Human Factors in Computing Systems
1231612,SIGecom Exch.
1509692,Proceedings of the ACM on Human-Computer Interaction
570429,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
1089442,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies"
2500277,ArXiv
2160354,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.
2155441,2016 IEEE International Symposium on Mixed and Augmented Reality (ISMAR-Adjunct)
1444158,Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems
258439,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1837381,Proceedings of the companion publication of the 17th ACM conference on Computer supported cooperative work & social computing
1280326,Proceedings of the Symposium on SDN Research
185150,Proceedings of the Applied Networking Research Workshop
1247559,Proceedings of the 2014 ACM SIGMOD International Conference on Management of Data
2525515,Inform. Spektrum
611639,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1280331,2012 IEEE Symposium on Biological Data Visualization (BioVis)
2289745,Proceedings of the 12th International Conference on Interaction Design and Children
1883267,Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing
2263375,Proceedings of the Second (2015) ACM Conference on Learning @ Scale
1090629,Proceedings of the first ACM conference on Learning @ scale conference
2525520,Second International ACM Workshop on Managing and Mining Enriched Geo-Spatial Data
1182034,Proceedings of the ACM on Human-Computer Interaction
2437532,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
1470515,Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems
2445534,"Proceedings of the 8th Nordic Conference on Human-Computer Interaction: Fun, Fast, Foundational"
1712932,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
21326,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
414506,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1209494,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
1858723,Proceedings of the ACM on Human-Computer Interaction
897821,Proceedings of the 19th ACM Conference on Computer Supported Cooperative Work and Social Computing Companion
1719160,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
358936,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
582997,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
1563832,Proceedings of the ACM on Human-Computer Interaction
2427221,IEEE Transactions on Multimedia
985429,Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems
1459113,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
94957,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
78478,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
1313111,2011 Seventh International Conference on Mobile Ad-hoc and Sensor Networks
166237,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1223430,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1444200,Inf. Softw. Technol.
45027,Proceedings of the 19th International Conference on Software Product Line
1225246,2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C)
1673576,Proceedings of the 23rd ACM International Conference on Conference on Information and Knowledge Management
1280482,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
17323,Proceedings of the 22nd ACM international conference on Information & Knowledge Management
121358,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1854860,bioRxiv
344121,Advances in experimental medicine and biology
638495,BMC Bioinformatics
1902962,"Proceedings of the Twelfth International Conference on Tangible, Embedded, and Embodied Interaction"
154072,Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems
70108,Proceedings of the 2014 conference on Designing interactive systems
657779,ACM Computing Surveys (CSUR)
947656,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
5704,Proceedings of the 2013 ACM international conference on Interactive tabletops and surfaces
780045,CHI '14 Extended Abstracts on Human Factors in Computing Systems
2230644,2012 IEEE 13th International Conference on Mobile Data Management
955032,Proceedings of the first ACM conference on Learning @ scale conference
2413903,Proceedings of the 23rd international conference on World wide web
592248,IEEE Transactions on Visualization and Computer Graphics
2413273,Journal of Medical Internet Research
728725,IEEE Transactions on Visualization and Computer Graphics
1083770,Proceedings of the 26th Australian Computer-Human Interaction Conference on Designing Futures: the Future of Design
2591099,Computer Graphics Forum
10727,Proceedings of the 30th Annual ACM Symposium on User Interface Software and Technology
976468,Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems
2454652,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
2007439,IEEE Transactions on Visualization and Computer Graphics
2623868,International Journal of Artificial Intelligence in Education
2352188,International Journal of Artificial Intelligence in Education
884251,Journal of the Learning Sciences
428419,2017 26th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN)
1334426,Proceedings of the Tenth Annual ACM/IEEE International Conference on Human-Robot Interaction Extended Abstracts
126105,2015 24th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN)
53526,2016 IEEE International Conference on Robotics and Automation (ICRA)
1313156,Journal of the American Statistical Association
2439,Journal of Medical Internet Research
493960,CHI '11 Extended Abstracts on Human Factors in Computing Systems
615921,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
756103,Journal of the Association for Information Science and Technology
2166101,Proceedings of the 22nd international conference on World Wide Web
35209,CHI '14 Extended Abstracts on Human Factors in Computing Systems
2244016,Proceedings of the 2013 conference on Computer supported cooperative work
1444236,Proceedings of the 19th ACM Conference on Computer-Supported Cooperative Work & Social Computing
1281561,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing
433296,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
1873527,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
527442,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1477005,Chinese Journal of Computers
1254997,Int. J. Mob. Hum. Comput. Interact.
1608087,Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems
2527808,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
1903001,2015 48th Hawaii International Conference on System Sciences
626451,2012 International Conference on Collaboration Technologies and Systems (CTS)
2571271,2012 45th Hawaii International Conference on System Sciences
493978,Proceedings of the 2016 ACM SIGCOMM Conference
1579357,Computer Communication Review
1818564,Proceedings of the 20th annual international conference on Mobile computing and networking
756123,Integr. Comput. Aided Eng.
1566326,Neurocomputing
2522449,IEEE Transactions on Human-Machine Systems
1509792,Proceedings of the 2017 ACM International Symposium on Wearable Computers
1359062,Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct Publication
1116578,Proceedings of the 2018 Designing Interactive Systems Conference
2239771,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
668883,Proceedings of the 2016 ACM Conference on Designing Interactive Systems
1274678,"Proceedings of the Ninth International Conference on Tangible, Embedded, and Embodied Interaction"
1843039,"Proceedings of the TEI '16: Tenth International Conference on Tangible, Embedded, and Embodied Interaction"
526757,Proceedings of the 2015 ACM International Symposium on Wearable Computers
2296235,SIGMETRICS Perform. Evaluation Rev.
330156,bioRxiv
1509810,Comput. Hum. Behav.
1329015,Proceedings of the 27th ACM Conference on Hypertext and Social Media
1509811,Proceedings of the 24th annual ACM symposium on User interface software and technology
362933,2015 10th ACM/IEEE International Conference on Human-Robot Interaction (HRI)
264630,Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work
