,journalName
1241904,Proceedings of the 2017 Conference on Designing Interactive Systems
2515406,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
307662,Proceedings of the 2018 Annual Symposium on Computer-Human Interaction in Play
1015873,Personal and Ubiquitous Computing
2621515,Computer
939794,Synthesis Lectures on Mobile and Pervasive Computing
524365,Proceedings of the 2014 International Working Conference on Advanced Visual Interfaces
1835088,2013 Humaine Association Conference on Affective Computing and Intelligent Interaction
874937,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1331356,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
786513,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
174594,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
776526,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1026129,IEEE Pervasive Computing
1080721,Proceedings of the 4th International Symposium on Pervasive Displays
1047979,ACM Trans. Comput. Hum. Interact.
169491,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
2621522,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing
1138703,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
491603,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
930167,Proceedings of the 2016 ACM Conference on Designing Interactive Systems
2386366,Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing
756277,Internet High. Educ.
830963,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
216665,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
477617,Communications of the ACM
608040,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing
1907342,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1878833,Proceedings of the 2014 conference on Designing interactive systems
1605717,Proceedings of the ACM on Human-Computer Interaction
644236,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
721701,Proceedings of the ACM on Human-Computer Interaction
321740,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
449775,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
355969,Proceedings of the 2013 conference on Computer supported cooperative work
637131,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
2497087,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
2507474,Proceedings of the ACM on Human-Computer Interaction
1103075,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1973402,Proceedings of the 17th ACM conference on Computer supported cooperative work & social computing
608395,Proceedings of the 19th ACM Conference on Computer-Supported Cooperative Work & Social Computing
618514,Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing
2578761,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1336678,Proceedings of the 19th ACM Conference on Computer-Supported Cooperative Work & Social Computing
1228019,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
864663,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2130424,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1477859,Proceedings of the 27th annual ACM symposium on User interface software and technology
1590045,Proceedings of the 2013 conference on Computer supported cooperative work
1836485,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
928101,Proceedings of the ACM 2011 conference on Computer supported cooperative work
553353,Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing
1138199,Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work
2134659,Proceedings of the 2013 conference on Computer supported cooperative work
2359992,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
332717,Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work
334931,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
2188047,Proceedings of the 19th ACM Conference on Computer-Supported Cooperative Work & Social Computing
2588762,Organ. Sci.
2392155,Magnetic Resonance in Medicine
295003,Comput. Educ.
2540474,Comput. Educ.
2359389,ArXiv
1900634,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association"
1332443,Translational Behavioral Medicine
1867871,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention
2315429,2015 IEEE 12th International Symposium on Biomedical Imaging (ISBI)
360547,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
135179,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1893911,ACM Trans. Comput. Hum. Interact.
1501232,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
437104,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2537182,IEEE Pervasive Computing
1720484,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
719115,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
2083979,Proceedings of the Annual Meeting of the Australian Special Interest Group for Computer Human Interaction
2588775,Brain connectivity
352492,2012 9th IEEE International Symposium on Biomedical Imaging (ISBI)
1233929,NeuroImage
2679343,2012 9th IEEE International Symposium on Biomedical Imaging (ISBI)
1584920,2011 IEEE International Symposium on Biomedical Imaging: From Nano to Macro
1256933,2012 9th IEEE International Symposium on Biomedical Imaging (ISBI)
1278059,Companion of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing
2048143,Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work Companion
2132050,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1376364,Neurocomputing
1765773,2014 13th International Conference on Control Automation Robotics & Vision (ICARCV)
886132,BMC Bioinformatics
669224,2013 35th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)
262252,2012 45th Hawaii International Conference on System Sciences
1179758,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
2073045,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1852847,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
1290036,Proceedings of the 26th annual ACM symposium on User interface software and technology
1059848,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1146990,Proceedings of the 2020 ACM Designing Interactive Systems Conference
1428568,Proceedings of the 2016 ACM International Symposium on Wearable Computers
1164367,Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems
539509,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
262256,ArXiv
1390102,2014 9th ACM/IEEE International Conference on Human-Robot Interaction (HRI)
734993,The International Journal of Robotics Research
2162807,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1562235,Proceedings of the 2013 conference on Computer supported cooperative work
1736829,ACM Transactions on Human-Robot Interaction (THRI)
2097278,"Proceedings of the 2018 AAAI/ACM Conference on AI, Ethics, and Society"
1343614,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems
84751,Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems
448268,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
538244,Personal and Ubiquitous Computing
1844886,Interactions
382237,Human–Computer Interaction
2467222,Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems
329413,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
2533271,Proceedings of the 24th annual ACM symposium on User interface software and technology
1227239,ACM Trans. Comput. Hum. Interact.
212300,Proceedings of the 28th Annual ACM Symposium on User Interface Software & Technology
1984244,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
1250018,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
983167,2018 IEEE Global Conference on Signal and Information Processing (GlobalSIP)
947240,2015 IEEE 16th International Workshop on Signal Processing Advances in Wireless Communications (SPAWC)
1910450,"2018 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)"
1494760,IEEE Signal Processing Letters
2475024,ACM Transactions on Intelligent Systems and Technology (TIST)
796692,IEEE Transactions on Signal Processing
2527052,IEEE Transactions on Signal Processing
327811,International Journal of Computer-Supported Collaborative Learning
317931,International Journal of Computer-Supported Collaborative Learning
311159,International Journal of Computer-Supported Collaborative Learning
1638533,Proceedings of the fifteenth ACM conference on Economics and computation
931507,2013 IEEE 54th Annual Symposium on Foundations of Computer Science
919353,Proceedings of the fifteenth ACM conference on Economics and computation
2621574,Proceedings of the 2015 International Conference on Interactive Tabletops & Surfaces
798550,Proceedings of the 19th international conference on Intelligent User Interfaces
2346166,Proceedings of the 4th International Symposium on Pervasive Displays
131212,Proceedings of the 6th International Conference on the Internet of Things
